Year,states,value
2006,Total reserves in months of imports,6.204070775
2006,GNI (current US$),1.58E+11
2007,"Imports of goods, services and primary income (BoP, current US$)",1.83E+11
2007,"Current account balance (BoP, current US$)",29770093208
2007,"Exports of goods, services and primary income (BoP, current US$)",2.17E+11
2007,"Foreign direct investment, net inflows (BoP, current US$)",9071369835
2007,Net ODA received per capita (current US$),7.565389023
2007,"Total reserves (includes gold, current US$)",1.02E+11
2007,Total reserves in months of imports,6.704203768
2007,GNI (current US$),1.89E+11
2008,"Imports of goods, services and primary income (BoP, current US$)",1.98E+11
2008,"Current account balance (BoP, current US$)",38914368952
2008,"Exports of goods, services and primary income (BoP, current US$)",2.42E+11
2008,"Foreign direct investment, net inflows (BoP, current US$)",7572512432
2008,Net ODA received per capita (current US$),5.740562919
2008,"Total reserves (includes gold, current US$)",92166457065
2008,Total reserves in months of imports,5.589263215
2008,GNI (current US$),2.24E+11
2009,"Imports of goods, services and primary income (BoP, current US$)",1.60E+11
2009,"Current account balance (BoP, current US$)",31800960631
2009,"Exports of goods, services and primary income (BoP, current US$)",1.98E+11
2009,"Foreign direct investment, net inflows (BoP, current US$)",114664434.6
2009,Net ODA received per capita (current US$),5.044881787
2009,"Total reserves (includes gold, current US$)",96704054215
2009,Total reserves in months of imports,7.244614621
2009,GNI (current US$),1.98E+11
2010,"Imports of goods, services and primary income (BoP, current US$)",2.02E+11
2010,"Current account balance (BoP, current US$)",25643752186
2010,"Exports of goods, services and primary income (BoP, current US$)",2.34E+11
2010,"Foreign direct investment, net inflows (BoP, current US$)",10885801852
2010,Net ODA received per capita (current US$),-0.217668472
2010,"Total reserves (includes gold, current US$)",1.07E+11
2010,Total reserves in months of imports,6.341152099
2010,GNI (current US$),2.47E+11
2011,"Imports of goods, services and primary income (BoP, current US$)",2.32E+11
2011,"Current account balance (BoP, current US$)",32491635332
2011,"Exports of goods, services and primary income (BoP, current US$)",2.71E+11
2011,"Foreign direct investment, net inflows (BoP, current US$)",15119439204
2011,Net ODA received per capita (current US$),1.424385378
2011,"Total reserves (includes gold, current US$)",1.34E+11
2011,Total reserves in months of imports,6.915595439
2011,GNI (current US$),2.91E+11
2012,"Imports of goods, services and primary income (BoP, current US$)",2.41E+11
2012,"Current account balance (BoP, current US$)",16315757810
2012,"Exports of goods, services and primary income (BoP, current US$)",2.63E+11
2012,"Foreign direct investment, net inflows (BoP, current US$)",8895774251
2012,Net ODA received per capita (current US$),0.630242861
2012,"Total reserves (includes gold, current US$)",1.40E+11
2012,Total reserves in months of imports,6.96382782
2012,GNI (current US$),3.03E+11
2013,"Imports of goods, services and primary income (BoP, current US$)",2.43E+11
2013,"Current account balance (BoP, current US$)",11205218343
2013,"Exports of goods, services and primary income (BoP, current US$)",2.59E+11
2013,"Foreign direct investment, net inflows (BoP, current US$)",11296279514
2013,Net ODA received per capita (current US$),-3.845074136
2013,"Total reserves (includes gold, current US$)",1.35E+11
2013,Total reserves in months of imports,6.667252439
2013,GNI (current US$),3.12E+11
2014,"Imports of goods, services and primary income (BoP, current US$)",2.45E+11
2014,"Current account balance (BoP, current US$)",14846482443
2014,"Exports of goods, services and primary income (BoP, current US$)",2.66E+11
2014,"Foreign direct investment, net inflows (BoP, current US$)",10619431583
2014,Net ODA received per capita (current US$),0.666966693
2014,"Total reserves (includes gold, current US$)",1.16E+11
2014,Total reserves in months of imports,5.67002202
2014,GNI (current US$),3.27E+11
2015,"Imports of goods, services and primary income (BoP, current US$)",2.08E+11
2015,"Current account balance (BoP, current US$)",9067534382
2015,"Exports of goods, services and primary income (BoP, current US$)",2.22E+11
2015,"Foreign direct investment, net inflows (BoP, current US$)",9857162112
2015,Net ODA received per capita (current US$),-0.019820976
2015,"Total reserves (includes gold, current US$)",95282342268
2015,Total reserves in months of imports,5.507770411
2015,GNI (current US$),2.93E+11
2016,"Imports of goods, services and primary income (BoP, current US$)",2.01E+11
2016,"Current account balance (BoP, current US$)",7132796677
2016,"Exports of goods, services and primary income (BoP, current US$)",2.13E+11
2016,"Foreign direct investment, net inflows (BoP, current US$)",13470089921
2016,Net ODA received per capita (current US$),-1.688783793
2016,"Total reserves (includes gold, current US$)",94481267074
2016,Total reserves in months of imports,5.642709978
2016,GNI (current US$),2.93E+11
2017,"Imports of goods, services and primary income (BoP, current US$)",2.23E+11
2017,"Current account balance (BoP, current US$)",8960171430
2017,"Exports of goods, services and primary income (BoP, current US$)",2.36E+11
2017,"Foreign direct investment, net inflows (BoP, current US$)",9368469823
2017,Net ODA received per capita (current US$),-0.940362439
2017,"Total reserves (includes gold, current US$)",1.02E+11
2017,Total reserves in months of imports,5.507607411
2017,GNI (current US$),3.10E+11
2018,"Imports of goods, services and primary income (BoP, current US$)",2.47E+11
2018,"Current account balance (BoP, current US$)",7590221354
2018,"Exports of goods, services and primary income (BoP, current US$)",2.60E+11
2018,"Foreign direct investment, net inflows (BoP, current US$)",8570094243
2018,Net ODA received per capita (current US$),-1.207792923
2018,"Total reserves (includes gold, current US$)",1.01E+11
2018,Total reserves in months of imports,4.921936007
2018,GNI (current US$),3.48E+11
2019,"Foreign direct investment, net inflows (BoP, current US$)",7650474717
2019,"Total reserves (includes gold, current US$)",1.04E+11
2019,GNI (current US$),3.55E+11
